obo:SLSO_1100019	# space radiation environment
obo:SLSO_1100020	# cis-lunar space radiation environment
obo:SLSO_1100021	# cis-mars space radiation environment
obo:SLSO_1100022	# interplanetary space radiation environment
obo:SLSO_1100023	# lunar orbit radiation environment
obo:SLSO_1100024	# lunar surface radiation environment
obo:SLSO_1100025	# mars orbit radiation environment
obo:SLSO_1100026	# mars surface radiation environment
obo:SLSO_1100027	# planet surface radiation environment
obo:SLSO_1100028	# free space radiation environment
obo:SLSO_1100029	# surface radiation environment
obo:SLSO_1100030	# martian radiation environment
obo:SLSO_1100031	# lunar radiation environment
obo:SLSO_0000055	# space flight
