Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	eBioscience	textual definition	A supplier of flow cytometry analyzers
ERROR	duplicate_definition	Cytopeia	textual definition	A supplier of flow cytometry analyzers
ERROR	duplicate_definition	Exalpha Biological	textual definition	A supplier of flow cytometry analyzers
ERROR	duplicate_definition	Apogee Flow Systems	textual definition	A supplier of flow cytometry analyzers
ERROR	duplicate_definition	Exbio Antibodies	textual definition	A supplier of flow cytometry analyzers
ERROR	duplicate_definition	Becton Dickinson (BD Biosciences)	textual definition	A supplier of flow cytometry analyzers
ERROR	duplicate_definition	Dako Cytomation	textual definition	A supplier of flow cytometry analyzers
ERROR	duplicate_definition	Millipore	textual definition	A supplier of flow cytometry analyzers
ERROR	duplicate_definition	Antigenix	textual definition	A supplier of flow cytometry analyzers
ERROR	duplicate_definition	Partec	textual definition	A supplier of flow cytometry analyzers
ERROR	duplicate_definition	Beckman Coulter	textual definition	A supplier of flow cytometry analyzers
ERROR	duplicate_definition	Advanced Instruments Inc. (AI Companies)	textual definition	A supplier of flow cytometry analyzers
ERROR	duplicate_definition	Miltenyi Biotec	textual definition	A supplier of flow cytometry analyzers
ERROR	duplicate_definition	AES Chemunex	textual definition	A supplier of flow cytometry analyzers
ERROR	duplicate_definition	Bentley Instruments	textual definition	A supplier of flow cytometry analyzers
ERROR	duplicate_definition	Invitrogen	textual definition	A supplier of flow cytometry analyzers
ERROR	duplicate_definition	Luminex	textual definition	A supplier of flow cytometry analyzers
ERROR	duplicate_definition	CytoBuoy	textual definition	A supplier of flow cytometry analyzers
ERROR	duplicate_definition	has_specified_output	textual definition	A relation between a planned process and a continuant participating in that process. The presence of the continuant at the end of the process is explicitly specified in the objective specification which the process realizes the concretization of.@en
ERROR	duplicate_definition	is_specified_output_of	textual definition	A relation between a planned process and a continuant participating in that process. The presence of the continuant at the end of the process is explicitly specified in the objective specification which the process realizes the concretization of.@en
ERROR	duplicate_definition	has_specified_input	textual definition	A relation between a planned process and a continuant participating in that process that is not created during  the process. The presence of the continuant during the process is explicitly specified in the plan specification which the process realizes the concretization of.@en
ERROR	duplicate_definition	is_specified_input_of	textual definition	A relation between a planned process and a continuant participating in that process that is not created during  the process. The presence of the continuant during the process is explicitly specified in the plan specification which the process realizes the concretization of.@en
ERROR	multiple_equivalent_classes	kilogram	owl:equivalentClass	d066953e-fa0f-4c40-ba91-17b754ab460fgenid2218
ERROR	multiple_equivalent_classes	kilogram	owl:equivalentClass	d066953e-fa0f-4c40-ba91-17b754ab460fgenid2222
