?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CHEBI_33839>	<http://www.w3.org/2000/01/rdf-schema#label>	"macromolecule"	
<http://purl.obolibrary.org/obo/CHEBI_33793>	<http://www.w3.org/2000/01/rdf-schema#label>	"canonical deoxyribonucleoside residue"	
<http://purl.obolibrary.org/obo/CHEBI_5686>	<http://www.w3.org/2000/01/rdf-schema#label>	"heterocyclic compound"	
<http://purl.obolibrary.org/obo/CHEBI_51447>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic univalent group"	
<http://purl.obolibrary.org/obo/CHEBI_60242>	<http://www.w3.org/2000/01/rdf-schema#label>	"monovalent inorganic cation"	
<http://purl.obolibrary.org/obo/CHEBI_76969>	<http://www.w3.org/2000/01/rdf-schema#label>	"bacterial metabolite"	
<http://purl.obolibrary.org/obo/CHEBI_76764>	<http://www.w3.org/2000/01/rdf-schema#label>	"EC 3.5.* (hydrolases acting on non-peptide C-N bonds) inhibitor"	
<http://purl.obolibrary.org/obo/CHEBI_35107>	<http://www.w3.org/2000/01/rdf-schema#label>	"azane"	
<http://purl.obolibrary.org/obo/CHEBI_25805>	<http://www.w3.org/2000/01/rdf-schema#label>	"oxygen atom"	
<http://purl.obolibrary.org/obo/CHEBI_36586>	<http://www.w3.org/2000/01/rdf-schema#label>	"carbonyl compound"	
<http://purl.obolibrary.org/obo/CHEBI_64708>	<http://www.w3.org/2000/01/rdf-schema#label>	"one-carbon compound"	
<http://purl.obolibrary.org/obo/CHEBI_36914>	<http://www.w3.org/2000/01/rdf-schema#label>	"inorganic ion"	
<http://purl.obolibrary.org/obo/CHEBI_64766>	<http://www.w3.org/2000/01/rdf-schema#label>	"cationic group"	
<http://purl.obolibrary.org/obo/CHEBI_36344>	<http://www.w3.org/2000/01/rdf-schema#label>	"hadron"	
<http://purl.obolibrary.org/obo/CHEBI_36356>	<http://www.w3.org/2000/01/rdf-schema#label>	"muon"	
<http://purl.obolibrary.org/obo/CHEBI_23019>	<http://www.w3.org/2000/01/rdf-schema#label>	"carbonyl group"	
<http://purl.obolibrary.org/obo/CHEBI_33250>	<http://www.w3.org/2000/01/rdf-schema#label>	"atom"	
<http://purl.obolibrary.org/obo/CHEBI_36341>	<http://www.w3.org/2000/01/rdf-schema#label>	"boson"	
<http://purl.obolibrary.org/obo/CHEBI_33695>	<http://www.w3.org/2000/01/rdf-schema#label>	"information biomacromolecule"	
<http://purl.obolibrary.org/obo/CHEBI_51086>	<http://www.w3.org/2000/01/rdf-schema#label>	"chemical role"	
<http://purl.obolibrary.org/obo/CHEBI_51422>	<http://www.w3.org/2000/01/rdf-schema#label>	"organodiyl group"	
<http://purl.obolibrary.org/obo/CHEBI_33284>	<http://www.w3.org/2000/01/rdf-schema#label>	"nutrient"	
