?cls	?xref
<http://purl.obolibrary.org/obo/CHEBI_33839>	"Wikipedia:Macromolecule"
<http://purl.obolibrary.org/obo/CHEBI_25805>	"KEGG:C00007"
<http://purl.obolibrary.org/obo/CHEBI_25805>	"WebElements:O"
<http://purl.obolibrary.org/obo/CHEBI_33250>	"NCIt:C48792"
<http://purl.obolibrary.org/obo/CHEBI_33250>	"MESH:D004602"
<http://purl.obolibrary.org/obo/CHEBI_33250>	"SNOMEDCT:290004009"
<http://purl.obolibrary.org/obo/CHEBI_33250>	"NCIt:C1940"
<http://purl.obolibrary.org/obo/CHEBI_46629>	"PDBeChem:O"
<http://purl.obolibrary.org/obo/CHEBI_30212>	"KEGG:C00205"
<http://purl.obolibrary.org/obo/CHEBI_33575>	"PMID:18433345"
<http://purl.obolibrary.org/obo/CHEBI_33575>	"Wikipedia:Carboxylic_acid"
<http://purl.obolibrary.org/obo/CHEBI_33575>	"PMID:17147560"
<http://purl.obolibrary.org/obo/CHEBI_76759>	"Wikipedia:Hydrolase"
<http://purl.obolibrary.org/obo/CHEBI_51143>	"KEGG:C06061"
<http://purl.obolibrary.org/obo/CHEBI_24636>	"CAS:12408-02-5"
<http://purl.obolibrary.org/obo/CHEBI_24636>	"KEGG:C00080"
<http://purl.obolibrary.org/obo/CHEBI_33314>	"WebElements:Rn"
<http://purl.obolibrary.org/obo/CHEBI_33314>	"Gmelin:16242"
<http://purl.obolibrary.org/obo/CHEBI_33314>	"CAS:10043-92-2"
<http://purl.obolibrary.org/obo/CHEBI_16670>	"KEGG:C00012"
<http://purl.obolibrary.org/obo/CHEBI_37527>	"KEGG:C00174"
<http://purl.obolibrary.org/obo/CHEBI_15378>	"KEGG:C00080"
<http://purl.obolibrary.org/obo/CHEBI_13941>	"CAS:302-11-4"
<http://purl.obolibrary.org/obo/CHEBI_13941>	"Beilstein:3903503"
<http://purl.obolibrary.org/obo/CHEBI_13941>	"Gmelin:239604"
<http://purl.obolibrary.org/obo/CHEBI_33709>	"Wikipedia:Amino_acid"
<http://purl.obolibrary.org/obo/CHEBI_78608>	"MetaCyc:Alpha-Amino-Acids"
<http://purl.obolibrary.org/obo/CHEBI_16541>	"KEGG:C00017"
<http://purl.obolibrary.org/obo/CHEBI_49637>	"WebElements:H"
<http://purl.obolibrary.org/obo/CHEBI_64909>	"Wikipedia:Poison"
<http://purl.obolibrary.org/obo/CHEBI_77941>	"Wikipedia:Amidase"
<http://purl.obolibrary.org/obo/CHEBI_36963>	"PMID:17586126"
<http://purl.obolibrary.org/obo/CHEBI_36342>	"Wikipedia:Subatomic_particle"
<http://purl.obolibrary.org/obo/CHEBI_33704>	"KEGG:C00045"
