Ontology ID	Label	editor preferred term	has curation status	alternative term	definition	definition source	example of usage	editor note	term editor	curator note	ontology term requester	term tracker item	Logical Type	Class Type	exact synonym	Has Subset	Member of superset 	db xref
ID	LABEL	A editor preferred term	AI has curation status	A alternative term SPLIT=|	A IAO:0000115	A definition source SPLIT=|	A example of usage SPLIT=|	A editor note SPLIT=|	A term editor SPLIT=|	A curator note SPLIT=|	A ontology term requester	A term tracker item	TYPE	TI %	A oboInOwl:hasExactSynonym	C 'has subset some % SPLIT=|	C 'part of' superset %	A http://www.geneontology.org/formats/oboInOwl#hasDbXref
obo:RBO_00000025	NSRL Galactic Cosmic Ray Simulation	NSRL GCRSim			"The NSRL Galactic Cosmic Ray Simulation is comprised of seven different species of ion, and fourteen different energies of H and He for 33 separate beams in a single GCRSim exposure.  (https://www.bnl.gov/nsrl/userguide/GCRSim.php)"		The samples were irradiated using the NSRL Galactic Cosmic Ray Simulation.						individual	obo:RBO_00000015	NSRL GCRSim			
obo:RBO_00000030	NASA Space Radiation Laboratory	NSRL			A particle accelerator beamline located at Brookhaven National Laboratory	Jack Miller	The experiment was conducted at the NSRL						individual	particle accelerator beamline	NSRL			
obo:RBO_00000031	Heavy Ion Medical Accelerator at Chiba	HIMAC			"A particle accelerator at the National Institute of Radiological Sciences in Chiba, Japan"		The experiment was carried out at HIMAC						individual	obo:RBO_00000121	HIMAC; NIRS-HIMAC			
obo:RBO_00000034	International Space Station	ISS			An instance of an Earth-orbiting space station that went operational in the year 2000.	term editor	The experiment was conducted aboard the International Space Station		Jack Miller				individual	space station	ISS			
obo:RBO_00000035	Mir				"An instance of an Earth-orbiting space station, operational from1986 to 2001, operated by the Soviet Union and later by Russia."	Wikipedia	The experiment was conducted on the Mir space station						individual	space station				
obo:RBO_00000036	Space Shuttle				An instance of a reusable spacecraft designed to carry passengers and equipment into low Earth orbit and return to Earth. Operated by the United States and operational from 1981 to 2011.	Wikipedia	The biological payload was carried into orbit by the Space Shuttle						individual	spacecraft				
obo:RBO_00000037	Bion-M1				"An instance of a Russian-operated Earth satellite carrying biological samples. Launched April 19, 2013 and returned to Earth May 19, 2013"	Wikipedia	The experiment was conducted aboard the Bion-MI satellite.		Jack Miller				individual	spacecraft				
obo:RBO_00000038	Foton-M4				"An instance of a Russian-operated Earth satellite carrying biological samples. Launched July 19, 2014 and returned to Earth September 1, 2014"	Wikipedia	The samples were flown on the Foton-M4 satellite						individual	spacecraft				
obo:RBO_00000039	Shenzhou-8				"An instance of a Chinese-operated Earth satellite carrying biological samples. Launched October 31, 2011 and returned to Earth November 17, 2011."	Wikipedia	The experiment was conducted on the Shenzhou-8 space station						individual	space station				
obo:RBO_00000040	ISS-US Laboratory	US Lab			"An instance of a module on the International Space Station, operated by the United States"	Wikipedia	The experiment was conducted in the US Laboratory on the ISS						individual	International Space Station module	Destiny|US Lab			
obo:RBO_00000041	ISS-Japanese Experiment Module	JEM			"A Japanese science module for the International Space Station developed by JAXA. It is the largest single ISS module, and is attached to the Harmony module. The first two pieces of the module were launched on Space Shuttle missions STS-123 and STS-124."	Wikipedia	The experiment was conducted on the Japanese Experiment Module						individual	International Space Station module	JEM|Kibo			
obo:RBO_00000042	ISS-Columbus	Columbus			"An instance of a module on the International Space Station, operated by the European Space Agency."	Wikipedia	The experiment was conducted on the Columbus module on the ISS						individual	International Space Station module	Columbus laboratory			
